Run,MY1,Mchi,Omegah2,xsi,x_f,sigmav_xf
285,40.03,177.5,5e-06,3.9e-05,32.0,0.0
286,40.03,180.35,4e-06,3.5e-05,32.0,0.0
287,40.03,180.99,4e-06,3.4e-05,32.0,0.0
288,40.03,184.49,4e-06,3.1e-05,32.0,0.0
289,40.03,187.98,3e-06,2.8e-05,32.0,0.0
290,40.03,188.7,3e-06,2.8e-05,32.0,0.0
291,40.03,191.48,3e-06,2.6e-05,32.0,0.0
292,40.03,194.97,3e-06,2.5e-05,32.0,0.0
293,40.03,196.18,3e-06,2.5e-05,32.0,0.0
294,40.03,198.47,3e-06,2.4e-05,32.0,0.0
295,40.03,200.38,3e-06,2.3e-05,32.0,0.0
296,40.03,201.96,3e-06,2.3e-05,32.0,0.0
297,40.03,205.46,3e-06,2.2e-05,32.0,0.0
298,40.03,208.95,3e-06,2.1e-05,32.0,0.0
299,40.03,212.45,2e-06,2.1e-05,32.0,0.0
300,40.03,212.84,2e-06,2.1e-05,32.0,0.0
301,40.03,215.94,2e-06,2e-05,32.0,0.0
302,40.03,219.44,2e-06,2e-05,33.0,0.0
303,40.03,222.32,2e-06,1.9e-05,33.0,0.0
304,40.03,222.93,2e-06,1.9e-05,33.0,0.0
305,40.03,226.43,2e-06,1.9e-05,33.0,0.0
306,40.03,229.92,2e-06,1.8e-05,33.0,0.0
307,40.03,231.06,2e-06,1.8e-05,33.0,0.0
308,40.03,233.42,2e-06,1.8e-05,33.0,0.0
309,40.03,236.91,2e-06,1.8e-05,33.0,0.0
310,40.03,237.44,2e-06,1.8e-05,33.0,0.0
311,40.03,327.73,2e-06,1.3e-05,33.0,0.0
312,40.03,450.11,1e-06,1e-05,34.0,0.0
313,40.03,515.03,1e-06,9e-06,34.0,0.0
314,40.03,588.03,1e-06,8e-06,34.0,0.0
315,40.03,586.41,1e-06,8e-06,34.0,0.0
316,40.03,585.58,1e-06,8e-06,34.0,0.0
317,40.03,583.12,1e-06,8e-06,34.0,0.0
318,40.03,582.92,1e-06,8e-06,34.0,0.0
319,40.03,580.67,1e-06,8e-06,34.0,0.0
