Label,sigma x BR (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]",Upper limit on signal strength,xsecUL
Run 108,0.149233427,1757.2,62.11863,701.5,1.0,0.25,0.1638417,0.1406947,0.1406947,0.1406947,0.1406947,0.1406947,0.1326849,1.75,0.26115849725
Run 109,4.071187,1004.5,46.42824,251.2,1.0,0.25,0.3727102,0.1076088,0.1076088,0.1076088,0.1076088,0.1076088,0.08924577,0.18,0.73281366
Run 110,0.238462376,2000.6,109.112,202.2,1.0,0.25,0.4568594,0.09119248,0.09119248,0.09119248,0.09119248,0.09119248,0.08717821,0.9,0.21461613840000002
Run 111,1.9736775,404.3,10.34561,205.1,1.0,0.25,,0.1943626,0.1943626,0.1943626,0.1943626,0.1943626,0.0281871,1.45,2.861832375
Run 112,5.4287282,1003.5,55.70876,2.6,1.0,0.25,0.4777867,0.0895887,0.0895887,0.0895887,0.0895887,0.0895887,0.07426978,0.13,0.705734666
Run 113,0.4352261,1750.3,92.51072,251.9,1.0,0.25,0.4408032,0.09409935,0.09409935,0.09409935,0.09409935,0.09409935,0.08870007,0.63,0.274192443
Run 114,0.91727292,1501.7,79.84118,201.5,1.0,0.25,0.4460038,0.09354369,0.09354369,0.09354369,0.09354369,0.09354369,0.08627773,0.37,0.3393909804
Run 115,24.606398,306.9,7.87189,145.9,1.0,0.25,0.0306001,0.19388,0.19388,0.19388,0.19388,0.19388,,0.48,11.811071039999998
Run 116,0.199799685,1506.0,49.42901,651.0,1.0,0.25,0.1025206,0.1515306,0.1515306,0.1515306,0.1515306,0.1515306,0.1398266,1.67,0.33366547395
Run 117,0.400204888,1752.5,87.62768,349.9,1.0,0.25,0.4088645,0.09947141,0.09947141,0.09947141,0.09947141,0.09947141,0.09377847,0.68,0.27213932384
Run 118,0.42456302,1506.3,57.21622,548.7,1.0,0.25,0.2244845,0.1309374,0.1309374,0.1309374,0.1309374,0.1309374,0.1208287,0.79,0.33540478580000005
Run 119,3.809826,55.6,1.383626,101.3,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,1.34,5.105166840000001
Run 120,0.06028813500000001,1206.9,35.43388,595.5,1.0,0.25,0.003833785,0.1693976,0.1693976,0.1693976,0.1693976,0.1693976,0.1491783,9.56,0.5763545706000001
Run 121,0.6866122800000001,1206.0,40.77,501.2,1.0,0.25,0.1348874,0.1471163,0.1471163,0.1471163,0.1471163,0.1471163,0.1295309,0.72,0.49436084160000004
Run 122,341.84389999999996,304.2,15.62996,1.9,1.0,0.25,0.5160705,0.0967859,0.0967859,0.0967859,0.0967859,0.0967859,,0.02,6.836878
Run 123,0.076237367,2253.5,95.56473,700.7,1.0,0.25,0.3003824,0.1172822,0.1172822,0.1172822,0.1172822,0.1172822,0.1132067,2.51,0.19135579116999998
Run 124,0.79205932,1005.1,31.35703,452.2,1.0,0.25,0.070635,0.1594231,0.1594231,0.1594231,0.1594231,0.1594231,0.1322493,0.94,0.7445357608
Run 125,0.0677941096,2255.3,91.7905,750.4,1.0,0.25,0.2710264,0.1222022,0.1222022,0.1222022,0.1222022,0.1222022,0.1179625,2.77,0.187789683592
Run 126,1.7167444100000002,1203.2,52.31449,350.6,1.0,0.25,0.327404,0.1143885,0.1143885,0.1143885,0.1143885,0.1143885,0.1006535,0.3,0.5150233230000001
Run 127,63.01807000000001,405.1,13.55095,151.0,1.0,0.25,0.2346704,0.1486854,0.1486854,0.1486854,0.1486854,0.1486854,0.02190267,0.08,5.041445600000001
Run 128,0.314202075,1505.5,53.03991,601.3,1.0,0.25,0.1638905,0.14117,0.14117,0.14117,0.14117,0.14117,0.1302595,1.06,0.33305419950000004
Run 129,0.0095390532,209.4,5.207502,501.2,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,33.2,0.31669656624000003
Run 130,132.98374,404.1,20.08611,50.1,1.0,0.25,0.4851763,0.1000709,0.1000709,0.1000709,0.1000709,0.1000709,0.0144692,0.04,5.319349600000001
Run 131,0.87446083,1502.1,77.63398,250.4,1.0,0.25,0.430071,0.09623321,0.09623321,0.09623321,0.09623321,0.09623321,0.08876293,0.39,0.3410397237
Run 132,1.5718476,204.7,5.091312,151.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,1.93,3.0336658679999995
Run 133,0.48943442,1750.2,97.20973,102.0,1.0,0.25,0.4678667,0.08954532,0.08954532,0.08954532,0.08954532,0.08954532,0.08440673,0.57,0.2789776194
Run 134,21.163445,703.6,38.48133,1.9,1.0,0.25,0.4849644,0.09093481,0.09093481,0.09093481,0.09093481,0.09093481,0.06036157,0.07,1.4814411500000002
Run 135,3.4551881,1003.7,42.74605,300.9,1.0,0.25,0.3192855,0.1167792,0.1167792,0.1167792,0.1167792,0.1167792,0.09681849,0.21,0.725589501
Run 136,0.080119367,57.5,1.43104,300.9,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,9.79,0.7843686029299999
Run 137,0.10179896,2252.9,109.8139,500.4,1.0,0.25,0.3913233,0.1020374,0.1020374,0.1020374,0.1020374,0.1020374,0.09848984,1.87,0.1903640552
Run 138,19.08495,703.2,36.186,101.3,1.0,0.25,0.4526211,0.09665108,0.09665108,0.09665108,0.09665108,0.09665108,0.06412354,0.08,1.526796
Run 139,0.09577087100000001,2004.5,74.752,751.9,1.0,0.25,0.2056249,0.1333705,0.1333705,0.1333705,0.1333705,0.1333705,0.1275224,2.28,0.21835758588
Run 140,0.076185981,2006.3,71.05684,800.9,1.0,0.25,0.1635558,0.1404318,0.1404318,0.1404318,0.1404318,0.1404318,0.134285,2.84,0.21636818604
Run 141,2.3080879,1203.1,61.95327,200.0,1.0,0.25,0.4321019,0.09658287,0.09658287,0.09658287,0.09658287,0.09658287,0.08498378,0.22,0.507779338
Run 142,0.13722582300000002,2247.8,125.5859,101.3,1.0,0.25,0.4689936,0.08901923,0.08901923,0.08901923,0.08901923,0.08901923,0.08591021,1.43,0.19623292689000002
Run 143,0.08455079900000001,2251.7,99.18637,651.8,1.0,0.25,0.326471,0.1129098,0.1129098,0.1129098,0.1129098,0.1129098,0.1089801,2.3,0.1944668377
Run 144,0.122707316,2249.7,120.101,301.6,1.0,0.25,0.4442649,0.09316389,0.09316389,0.09316389,0.09316389,0.09316389,0.08991562,1.53,0.18774219347999999
