#: table_doi: 10.17182/hepdata.102093.v1/t97
#: name: Table cutflows 150GeV
#: description: Cutflow of several signal benchmarks. A cut on the truth $E_\mathrm{T}^\mathrm{miss}$ at 150 GeV is applied.
#: data_file: table_cutflows_150gev.yaml
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,0.78
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,0.53
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,0.34
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,0.71

Cut,H(inv)
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),406280.0
Trigger,388720.0
Event cleaning,387590.0
Lepton veto,363890.0
$N_\mathrm{jets}\leq4$,339110.0
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",324580.0
Lead. Jet quality requirements,306820.0
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,160680.0
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,100170.0
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,45920.0
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,26061.0
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,13409.0
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,6831.0
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,5266.0
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,1703.0
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,578.0
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,225.0
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,89.0
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,48.0
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,21.0
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,9.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,12.0

Cut,H(inv)  [$\%$]
Total evts (truth $E_\mathrm{T}^\mathrm{miss}>150$ GeV),100.0
Trigger,95.68
Event cleaning,95.4
Lepton veto,88.57
$N_\mathrm{jets}\leq4$,83.47
"$\min{\Delta\Phi\left(\mathrm{jets},E_\mathrm{T}^\mathrm{miss}\right)}$ cut",79.89
Lead. Jet quality requirements,75.52
Lead. Jet $p_\mathrm{T}>150$ GeV and lead. Jet $\left|\eta\right|<2.4$,39.55
$E_\mathrm{T}^\mathrm{miss}>200$ GeV,24.66
200 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $250 GeV,11.3
250 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $300 GeV,6.41
300 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $350 GeV,3.3
350 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $400 GeV,1.68
400 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $500 GeV,1.3
500 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $600 GeV,0.42
600 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $700 GeV,0.14
700 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $800 GeV,0.06
800 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $900 GeV,0.02
900 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1000 GeV,0.01
1000 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1100 GeV,0.01
1100 GeV $< E_\mathrm{T}^\mathrm{miss} \leq $1200 GeV,0.0
$E_\mathrm{T}^\mathrm{miss} > $1200 GeV,0.0

